Age,Job,Marital_Status,Education,Default_Credit,Housing_Loan,Personal_Loan,Subscribed
56,housemaid,married,Primary_Education,no,no,no,no
37,services,married,Secondary_Education,no,yes,no,no
40,admin.,married,Primary_Education,no,no,no,no
56,services,married,Secondary_Education,no,no,yes,no
59,admin.,married,Professional_Education,no,no,no,no
24,technician,single,Professional_Education,no,yes,no,no
25,services,single,Secondary_Education,no,yes,no,no
25,services,single,Secondary_Education,no,yes,no,no
29,blue-collar,single,Secondary_Education,no,no,yes,no
57,housemaid,divorced,Primary_Education,no,yes,no,no
35,blue-collar,married,Primary_Education,no,yes,no,no
35,blue-collar,married,Primary_Education,no,yes,no,no
50,blue-collar,married,Secondary_Education,no,yes,yes,no
30,unemployed,married,Secondary_Education,no,no,no,no
55,retired,single,Secondary_Education,no,yes,no,no
41,technician,single,Secondary_Education,no,yes,no,no
37,admin.,married,Secondary_Education,no,yes,no,no
35,technician,married,Tertiary_Education,no,no,yes,no
54,blue-collar,divorced,Primary_Education,no,no,no,no
34,services,married,Secondary_Education,no,no,no,no
52,technician,married,Secondary_Education,no,yes,no,no
41,admin.,married,Tertiary_Education,no,yes,no,no
56,technician,married,Primary_Education,no,yes,no,no
32,entrepreneur,married,Secondary_Education,no,yes,no,no
38,admin.,single,Professional_Education,no,no,no,no
57,admin.,married,Tertiary_Education,no,no,yes,no
57,admin.,married,Tertiary_Education,no,yes,yes,no
40,blue-collar,married,Secondary_Education,no,no,yes,no
35,admin.,married,Tertiary_Education,no,yes,no,no
45,blue-collar,married,Secondary_Education,no,yes,no,no
54,admin.,married,Secondary_Education,no,no,no,no
39,housemaid,married,Primary_Education,no,no,yes,no
60,admin.,married,Secondary_Education,no,no,no,no
53,admin.,single,Professional_Education,no,no,no,no
25,technician,single,Tertiary_Education,no,yes,no,no
51,blue-collar,married,Secondary_Education,no,yes,no,no
48,admin.,married,Secondary_Education,no,no,no,no
37,admin.,married,Tertiary_Education,no,no,no,no
44,blue-collar,single,Secondary_Education,no,yes,no,no
56,admin.,married,Secondary_Education,no,yes,no,no
41,management,married,Primary_Education,no,no,no,no
44,management,divorced,Tertiary_Education,no,yes,no,no
55,technician,married,Tertiary_Education,no,no,no,no
38,technician,single,Tertiary_Education,no,no,yes,no
31,admin.,divorced,Secondary_Education,no,no,no,no
41,management,married,Primary_Education,no,no,no,no
39,admin.,married,Tertiary_Education,no,yes,yes,no
49,technician,married,Secondary_Education,no,no,no,yes
34,admin.,married,Secondary_Education,no,yes,no,no
35,admin.,married,Tertiary_Education,no,yes,no,no
33,unemployed,married,Secondary_Education,no,no,no,no
42,blue-collar,married,Primary_Education,no,no,yes,no
45,services,married,Professional_Education,no,yes,no,no
42,management,married,Tertiary_Education,no,no,no,no
37,technician,single,Professional_Education,no,no,no,no
44,blue-collar,married,Primary_Education,no,no,no,no
49,blue-collar,married,Primary_Education,no,no,no,no
52,admin.,divorced,Tertiary_Education,no,no,no,no
52,admin.,divorced,Tertiary_Education,no,no,no,no
34,housemaid,married,Primary_Education,no,yes,no,no
35,admin.,married,Secondary_Education,no,yes,no,no
35,services,divorced,Secondary_Education,no,yes,no,no
37,management,married,Tertiary_Education,no,no,no,no
36,blue-collar,married,Secondary_Education,no,no,no,no
52,admin.,divorced,Tertiary_Education,no,no,no,no
49,blue-collar,divorced,Secondary_Education,no,no,no,no
41,services,married,Secondary_Education,no,no,no,no
45,technician,married,Secondary_Education,no,yes,no,no
32,admin.,married,Tertiary_Education,no,yes,yes,no
42,admin.,married,Tertiary_Education,no,no,yes,no
50,admin.,married,Primary_Education,no,no,no,no
31,technician,divorced,Professional_Education,no,yes,yes,no
56,retired,married,Primary_Education,no,yes,no,no
37,blue-collar,married,Primary_Education,no,yes,yes,no
37,blue-collar,married,Primary_Education,no,yes,no,no
52,management,married,Tertiary_Education,no,no,no,no
39,management,divorced,Tertiary_Education,no,no,no,no
34,services,married,Secondary_Education,no,yes,no,no
43,unemployed,single,Tertiary_Education,no,yes,no,no
39,management,married,Tertiary_Education,no,yes,no,no
53,blue-collar,married,Primary_Education,no,yes,no,no
35,admin.,single,Secondary_Education,no,yes,no,no
51,blue-collar,married,Primary_Education,no,yes,no,no
36,blue-collar,married,Secondary_Education,no,yes,yes,no
43,technician,single,Professional_Education,no,yes,no,no
59,services,married,Secondary_Education,no,no,no,no
24,management,single,Tertiary_Education,no,yes,no,no
37,entrepreneur,married,Primary_Education,no,no,no,no
38,services,married,Secondary_Education,no,yes,yes,no
54,management,divorced,Tertiary_Education,no,yes,no,no
45,technician,married,Tertiary_Education,no,yes,yes,no
43,services,married,Secondary_Education,no,no,no,no
46,management,married,Secondary_Education,no,no,no,no
44,services,married,Secondary_Education,no,yes,yes,no
51,admin.,single,Primary_Education,no,no,no,no
28,services,married,Secondary_Education,no,yes,no,no
37,blue-collar,married,Secondary_Education,no,no,no,no
34,technician,married,Secondary_Education,no,no,no,no
42,blue-collar,married,Secondary_Education,no,yes,yes,yes
36,admin.,married,Tertiary_Education,no,yes,no,no
57,management,married,Tertiary_Education,no,no,no,no
34,admin.,married,Tertiary_Education,no,yes,no,no
41,technician,married,Professional_Education,no,no,no,no
38,blue-collar,single,Secondary_Education,no,yes,no,no
45,management,divorced,Tertiary_Education,no,no,no,no
42,technician,married,Tertiary_Education,no,no,no,no
48,blue-collar,married,Primary_Education,no,yes,no,no
43,blue-collar,married,Primary_Education,no,yes,no,no
33,services,married,Secondary_Education,no,no,no,no
32,services,single,Primary_Education,no,no,no,no
39,blue-collar,married,Secondary_Education,no,yes,no,no
44,blue-collar,married,Secondary_Education,no,yes,no,no
35,unemployed,married,Professional_Education,no,no,no,no
36,services,single,Primary_Education,no,no,no,no
36,student,single,Secondary_Education,no,yes,no,no
55,housemaid,divorced,Tertiary_Education,no,no,no,no
59,admin.,married,Tertiary_Education,no,no,no,no
40,services,married,Secondary_Education,no,no,no,no
35,admin.,married,Secondary_Education,no,yes,no,no
40,technician,married,Secondary_Education,no,no,no,no
58,retired,married,Tertiary_Education,no,no,no,no
42,technician,married,Tertiary_Education,no,no,no,no
35,admin.,single,Tertiary_Education,no,no,no,no
45,blue-collar,married,Primary_Education,no,yes,yes,no
39,admin.,married,Professional_Education,no,yes,no,no
50,services,divorced,Professional_Education,no,yes,no,no
44,admin.,married,Professional_Education,no,yes,no,no
56,blue-collar,married,Primary_Education,no,no,no,no
48,admin.,married,Secondary_Education,no,no,no,no
57,retired,married,Secondary_Education,no,no,no,no
36,technician,single,Professional_Education,no,no,no,no
34,management,married,Tertiary_Education,no,yes,no,no
34,services,single,Secondary_Education,no,no,no,no
32,technician,single,Professional_Education,no,no,no,no
36,technician,single,Secondary_Education,no,yes,no,no
36,blue-collar,single,Secondary_Education,no,no,yes,no
33,services,single,Secondary_Education,no,no,no,no
40,technician,divorced,Professional_Education,no,no,no,no
41,blue-collar,married,Primary_Education,no,yes,no,no
51,services,married,Primary_Education,no,yes,no,no
36,technician,married,Professional_Education,no,yes,no,no
53,services,married,Secondary_Education,no,yes,yes,no
45,management,married,Secondary_Education,no,no,yes,no
33,admin.,married,Secondary_Education,no,no,yes,no
33,admin.,married,Secondary_Education,no,no,yes,no
42,technician,married,Secondary_Education,no,no,no,no
43,admin.,divorced,Secondary_Education,no,no,no,no
42,admin.,married,Tertiary_Education,no,no,no,no
27,blue-collar,single,Primary_Education,no,no,no,no
34,self-employed,single,Tertiary_Education,no,yes,no,no
54,management,divorced,Tertiary_Education,no,no,no,no
47,management,divorced,Tertiary_Education,no,no,no,no
32,admin.,single,Secondary_Education,no,no,no,no
